Row	VertebralVolumes	CentrumVolumes	HaemalVolumes	NeuralVolumes	VertebralSAs	CentrumSAs	HaemalSAs	NeuralSAs	VertebralTMDs	CentrumTMDs	HaemalTMDs	NeuralTMDs	VertebralISs	CentrumISs	HaemalISs	NeuralISs	VertebralMTs	CentrumMTs	HaemalMTs	NeuralMTs	VertebralTSs	CentrumTSs	HaemalTSs	NeuralTSs	CentrumLength
Vertebrae1	183275190	81663498	91998774	9881487	6770232	2574558	3789072	438795	633.419149754391	652.938937754994	625.372513212201	544.830418913737	210.802297536192	234.390016276396	187.684093152245	177.744072672964	100.126321130611	124.445748453472	84.8161770149124	80.7864942920155	37.7707366936144	46.2076649330149	17.2154479301003	26.296875375831	424.792840063434
Vertebrae2	184895865	94684464	80654049	9270261	6984999	3016440	3524472	433062	628.940677052909	675.078572134098	591.295568844124	486.998438271202	211.708171331699	230.382561060701	178.119548646186	143.270936879925	99.5562871030238	128.891653112342	77.6116397072448	64.8337276015785	41.3965260071261	44.1727157741055	15.9656261616823	19.183318927841	514.970636662028
Vertebrae3	192212055	94508505	88535160	9501786	7661052	3293829	3948714	435267	603.187881706627	631.635106782373	583.309483983405	500.869420515094	196.426251774148	209.00233625296	179.512581053147	157.072614106961	92.6389320959125	112.675555094202	78.5935890515892	68.4389479253027	30.0150474962487	30.7741584867405	17.6999058395028	20.1475845402779	572.229355234541
Vertebrae4	184923648	99046395	77320089	8529381	7316190	3419955	3501540	399105	614.205737911518	650.238139756983	580.82159389387	499.20690071429	199.159649370215	213.017835554075	173.335232009725	148.757850660129	94.1620919354921	116.877169508067	75.2916934185201	63.2326390410828	32.6732503916356	31.7769695505296	14.8521994838221	17.9829811638148	539.32301548225
Vertebrae5	165818205	78931503	76921866	10835370	6766263	2721852	3578715	512883	598.415738874892	637.888596028474	571.574739357544	492.902158002179	189.086281706313	203.002653826123	170.301550854578	125.286821685262	88.825154940436	114.347187629908	72.8122776183436	58.2831734434375	32.0424265421598	31.8515574484099	15.2129799446781	14.0196595084762	422.106555272038
Vertebrae6	154473480	68911101	78060969	7501410	6613236	2619099	3637368	356769	580.344333755427	616.918574882336	556.139671951987	496.235896861437	185.740901368632	206.546883740043	163.170486033274	126.781820289229	83.6103034181507	103.414570539682	72.3159627573809	58.5756640542637	28.6108310862541	32.1622742890454	16.0916093237165	11.7473021699538	404.196773911208
Vertebrae7	195527493	108094392	78172101	9909270	7855092	3726009	3693375	469224	599.675804205556	651.201988334671	540.558339807828	497.787759717938	195.896569132059	212.398324721191	152.300919877139	130.875723866439	91.8352960589217	117.178689633073	68.6145667130197	62.599888097337	34.9603990222192	32.2542960742326	14.1492645562389	15.8448131525338	679.290704265758
Vertebrae8	166531302	101444994	56306880	8770167	6734511	3650157	2673342	417627	583.808079781563	640.059073261779	498.715350538836	479.721998933722	193.173758716986	207.196173517403	127.646157596433	115.937614056167	87.7677643877769	108.416313511165	65.3890226755587	57.6220371621768	30.6414974903382	25.6036702908674	15.0648328139815	11.7625547855599	672.882187179876
Vertebrae9	137136888	91535724	37006956	9196173	5474574	3319848	1750770	434826	597.604622757675	653.938451157894	481.288720900527	498.323644746625	202.305850123191	211.883896477745	113.801682344114	133.609183452445	90.8428307720052	110.385621334932	64.5216249568345	60.2508189837721	32.5058411986945	27.3041656553228	14.3502401931844	15.0980895480676	662.048337322536
Vertebrae10	121476537	86238432	24504606	11335464	4825863	3187548	1155420	529200	596.151448905818	639.971181043566	478.162340873459	515.318925402473	199.743409402773	206.187868022345	123.403663374168	147.427106821667	90.2162216582764	105.969484176662	61.5633437270782	70.5593301984261	30.2632062447438	24.3188041545177	18.4428587917764	19.284483331906	633.404137100594
Vertebrae11	96897843	85377159	3472875	8121897	3751587	3227238	164934	377496	615.3249806858	630.235227269022	472.453926216797	517.838828956526	200.487212114741	201.647768600969	131.548893118795	156.792591069013	98.4337310694308	104.332804232276	71.8922605887055	66.5996674875268	28.3530196079091	25.793345841327	25.0734529037541	18.1470592549567	664.342311144049
Vertebrae12	103019364	81682020	11854080	9816660	3943422	3004533	538461	457758	615.064475222295	640.288997084014	535.224622826385	500.638328925597	201.359865737183	203.854032412984	174.940781938884	132.768247138813	98.8845209686772	107.21908664254	82.7177388072703	68.609435748989	31.5617418535915	27.0292110612874	38.3254966894165	19.1129117418238	619.646252582619
Vertebrae13	98509257	81709803	8362683	8797950	3797892	3028788	390726	404838	617.545007420434	638.638706025467	507.510581511336	523.624893040707	201.744062246669	204.957409132741	144.144107251794	150.556500733316	96.59658420441	104.641092160862	65.7854171397487	71.5750637002044	28.5779102201088	25.7764487596176	15.237944796917	20.5761927131847	619.617956478762
Vertebrae14	101963610	83339739	9177651	9900009	3923577	3071565	420714	459081	616.882906249268	637.171178155565	521.878718107253	531.202889770394	196.334705529746	200.658981832006	145.758109735543	143.956703831009	99.1242575672083	106.219065113277	74.5826463933632	75.3060770597131	30.7743498302445	30.187899411039	17.7288848282172	17.3801487152285	621.763740560866
Vertebrae15	101472777	80320653	11011329	10566801	3955329	3015999	509355	455994	618.121484875826	637.456459480172	516.289697411411	573.050470813962	208.086041156179	214.547240745389	141.430219804381	174.713269753526	97.9401947798606	102.982618637577	75.79993922443	90.0467134687034	26.276069478602	25.5370237347103	15.9565692311697	25.4989019857881	594.336261067049
Vertebrae16	102009915	79977996	10094490	12307869	3864924	2944116	466137	479367	623.945478073446	640.743655372637	522.410658738443	595.720921676601	207.290864038383	210.720298305991	149.086438594982	198.218551391327	104.230867271459	108.144619086748	73.9269793547462	109.302093880253	33.6984090060483	30.0028474077239	19.0633800606556	46.9474627365705	600.36103399108
Vertebrae17	97749855	76792212	8659035	12937617	3818619	2933091	399987	519498	612.443580605034	629.215477752023	528.2207812077	564.892028441422	201.514562766383	207.27467972509	150.601186402258	171.007373549063	99.2106947934718	102.075029922465	73.5189080152342	102.242448420411	27.1411770909922	23.7571007601508	18.5477812576254	37.2944620054958	607.889615244535
Vertebrae18	85358637	65836449	8149680	11372508	3428334	2583378	384552	465255	607.576055531967	627.780839701847	492.391623925781	573.151372429167	201.678668877582	207.646526174533	121.246106110336	179.248240992469	94.5935976024667	98.0066381844006	68.3103741410094	98.5339647373004	26.3459530852001	23.2810126751901	15.3914684707143	34.7626264545539	526.285149290935
Vertebrae19	82024677	66577329	4982418	11252115	3232971	2586024	236817	452907	608.423204447941	621.854600886418	469.247118108246	583.21620544524	199.375896492336	201.195112904959	109.197275696286	191.872138057131	98.2162956718617	101.091648958997	61.4493631920565	102.705966731202	28.5356106187782	23.3143248670228	15.1885249478006	41.4828670546836	565.442603897006
Vertebrae20	81867240	69550110	6028911	6519744	3241350	2660553	286650	306936	606.665371856358	626.536438905483	480.666067440191	506.303295749317	203.505062397442	208.328253015861	115.464105795991	129.680010302798	96.0862962472169	103.752017835079	63.9263322566299	65.2430028764306	29.5580052022673	27.1113663687705	13.2143570583122	15.6006661535878	601.89367437517
Vertebrae21	63965727	53463753	4574934	6278958	2575440	2076228	217854	298557	604.994631717667	631.180595379521	458.994926635248	482.027232055664	202.688840104456	206.257556588433	100.393919198509	118.058175470412	89.2752517768955	97.4652908347836	55.9987013924797	63.60265965989	26.393109353313	23.2910070774375	9.88166587018958	13.551197041526	487.469861364538
Vertebrae22	61298559	52593219	3926664	5288031	2498265	2096514	186984	244755	600.980036513464	619.173893955527	466.71676340643	510.919705759239	204.871544841821	209.517241282992	110.372216170722	136.654030414751	91.9790021444111	97.7761028437073	58.3037590826214	73.2267797504866	27.7830490948497	26.0500821183236	11.6630828836016	22.6504168321024	520.740593741073
Vertebrae23	47407059	38572065	3158001	5862213	2028159	1612296	150381	274302	587.91180895884	615.232167097112	449.938423566086	477.27954447062	202.877002522722	207.38050659454	103.280010362025	134.052300666692	80.0333881274514	86.4957247141011	55.4378977806087	60.8910587656618	25.3073765235045	24.1133853987042	12.1022740225192	17.5410785510902	387.723827665953
Vertebrae24	68957406	57946077	5389902	6047433	2829456	2314368	250047	285327	589.892063739982	607.799549369042	502.35007545833	488.262057107595	190.752335179073	194.890334859187	136.913663214412	125.728577782183	90.3605221008197	96.2538463415368	71.1328989026502	64.3827348313786	25.2902599677843	23.6270389119552	18.3173008307048	15.4812261519453	535.804187542711
Vertebrae25	74819619	63910161	963144	11187288	2986011	2496942	45864	504945	612.075062081797	624.468984540992	413.575214496319	556.549259526133	207.533943464366	211.267735782787	69.3547784192027	169.350978975539	93.8340807565761	99.0105394815109	48.7292756054137	74.4784233884896	26.7552252139612	25.3238656261425	7.85041872102452	19.2043927170093	529.756014427714
