Row	VertebralVolumes	CentrumVolumes	HaemalVolumes	NeuralVolumes	VertebralSAs	CentrumSAs	HaemalSAs	NeuralSAs	VertebralTMDs	CentrumTMDs	HaemalTMDs	NeuralTMDs	VertebralISs	CentrumISs	HaemalISs	NeuralISs	VertebralMTs	CentrumMTs	HaemalMTs	NeuralMTs	VertebralTSs	CentrumTSs	HaemalTSs	NeuralTSs	CentrumLength
Vertebrae1	86942268	31941189	47490408	7445844	3740121	1199079	2209851	340452	358.371267075359	365.844441810084	359.374234880992	320.272799082286	128.235446451145	132.526505692556	126.875863832514	110.808171810554	80.4785909013153	101.053204935382	70.4587639085993	74.8072440531347	26.4714036001902	33.0432189079561	15.0005588677761	17.8750440030713	432.288848058218
Vertebrae2	87516450	35414064	44295363	7807023	3920049	1469412	2094309	359415	339.116351759905	339.918182343742	342.494456168106	316.312468560596	118.708784082034	112.32814320122	122.856370833727	120.581657690847	71.5483498732628	90.7535726103619	61.2092204513577	65.0268671577471	22.9075294539392	24.8421224349513	13.064353980224	17.8012307542849	518.784693520273
Vertebrae3	79690905	35404803	36756909	7519932	3598560	1494990	1749447	354564	317.890478702738	335.411550587432	304.25647698158	302.196020656642	103.138319748445	111.130534402666	92.6184438212912	100.295761412117	67.5126750289862	85.1565959313952	55.5074109488194	64.4637188567895	21.3968414702998	21.8130694205802	10.1999898243017	17.8630875172415	509.851510427158
Vertebrae4	82219158	36969912	38794329	6742008	3713220	1578780	1828386	319725	325.579219463942	342.918084477671	313.27216521175	300.451859866635	110.777991310404	115.935508678145	105.888842062177	93.6775095104343	71.1839736734691	86.155341166517	61.6236472210954	62.3326446389519	20.7794635711027	21.0214308375693	13.8707011970876	14.4154761311847	541.390694566435
Vertebrae5	83941704	37942317	41016969	4982418	3804948	1637433	1934226	236376	325.601788555526	341.073278714501	318.529915974283	266.000726252559	112.689076886887	120.573074429012	105.911684250296	71.677476110362	71.1387404243382	83.6181636050344	64.2400380843139	54.7375058266852	20.0315265102862	20.3090686140636	14.8878419366573	13.8374482821033	559.655767300338
Vertebrae6	73448991	34274961	34969536	4204494	3350277	1509984	1644489	200214	319.954971644502	324.297954672631	321.7479918606	269.638177540783	107.339228451851	106.699237296448	109.874325585647	73.378095441612	69.8621689815354	79.977866989722	64.3145187722349	52.5157598571226	18.5444455364849	18.6753644510364	14.9306224896731	9.0983205566604	561.731598216851
Vertebrae7	75690153	37821924	33784128	4084101	3407607	1611414	1603035	194481	322.934458615042	328.925792417222	323.474924153378	262.979298678651	107.090054156001	107.5241407298	108.413268306649	65.9845334528595	70.6756571555521	84.1580287979086	61.3668078523535	51.5774752861745	21.7820360035014	23.2597255011812	13.0420896912962	8.61165826707195	564.576572956477
Vertebrae8	69179670	37923795	27681129	3482136	3105963	1621557	1315944	165816	326.379376065394	339.152076968686	317.427822585238	260.123788478121	111.810592453552	118.385635691858	103.320531172047	62.5702012335006	72.1713018404255	84.4529068597475	62.3953108418269	51.1927602734677	21.3607201019322	22.1794768199774	12.4239131198172	8.39704210101474	578.946480445941
Vertebrae9	52621002	29672244	19336968	3482136	2425500	1338435	918603	165816	316.028071787914	326.711308794	310.032902825717	260.505901087335	104.179999085299	109.980529130198	96.8371363158203	66.6284944308207	67.5618063184965	76.0096707726145	61.2666795790011	49.5103081810622	18.1499661702789	17.7864916151106	14.2116804852937	8.64395541077023	598.279248412929
Vertebrae10	45934560	28292355	14095242	3546963	2130912	1292571	670761	168903	314.333955181836	331.749698872638	292.121551659162	263.686908670371	104.679049659659	113.165139996118	85.4372609419239	61.9511278066523	65.6006531731655	74.7765422049911	55.8728436126269	50.2949560820628	17.1588534760309	16.0380845368042	11.160730085348	8.57794916080275	573.786593118009
Vertebrae11	40109391	31107699	5538078	3519180	1787373	1364454	259308	167580	343.810507551166	353.456284178961	338.782949898098	266.164897275262	125.452230508077	128.16754684794	121.635643335565	64.1502153171154	75.802790664289	81.3631442054054	70.7218643873574	49.7225798268805	22.0671238115229	20.9177489264566	18.3806408342194	8.54797784381613	532.547505413238
Vertebrae12	38572065	29162889	6167826	3296916	1763559	1326969	283563	156996	330.491596450319	332.367721668136	332.302247179186	308.352869251037	115.470657430463	117.183940774689	114.187380240177	99.7806281636844	72.7245195271465	77.2112002503297	66.3979499970058	54.8930532279042	18.8608012907393	17.9571658021225	18.0602665923663	10.6960069071577	543.287084548832
Vertebrae13	38822112	27569997	7556976	3695139	1775907	1272726	327663	175959	329.395455337466	322.905034815503	366.269023501228	302.410869553645	113.236997239947	102.22258567059	147.757017419984	91.379512336919	72.4889148889197	73.8536839437652	77.6437381377854	55.7048781062931	18.345587984479	14.7335376084182	25.0161741112444	12.0129932991209	543.788934674488
Vertebrae14	39192552	28153440	6742008	4463802	1808100	1305360	298557	212562	314.05770937095	308.675675489406	351.68967951915	290.26760814518	103.024577589031	93.3071930254088	137.649520002074	84.3153476140432	71.7155728477101	73.4533132853893	76.8222783024932	55.9017240968319	18.6933133831943	16.0923454980228	24.9446089755302	11.0841811835567	571.401563649915
